experiment,Grid GHG intensity,Light-duty vehicles: % of LDV stock: EV,Light-duty vehicles: % of LDV stock: PHEV,Trucks: % of MDT stock: EV,Transit vehicles: % of transit bus fleet: EV,Transit vehicles: % of school bus fleet: EV,Transit vehicles: % of commuter rail electrified,Land Use,Prior drive mode share of new riders: bus,Prior drive mode share of new riders: urban rail,Operational improvements: Ridership elasticity,Operational improvements: One-way length of bus routes w/op. improvements,Operational improvements: % travel time savings,New service: New one-way route-miles: rapid bus,New service: New one-way route-miles: urban rail,New service: Average load factor: new rapid bus,New service: Average load factor: new urban rail,New service: Fuel type of new bus service,Active Transportation: Use growth factor or elasticity?,Active Transportation: New bike facility miles,Active Transportation: Bike growth factor,Active Transportation: E-bike % of bike miles,Active Transportation: Share of <2 mi trips converted to walk,Active Transportation: Prior drive mode share of new bike & walk trips:,CAV (Private),% CAV market penetration: LDV,% CAV market penetration: MDT,CAV technology: LDV,CAV technology: MDV,CAV efficiency improvement,CAV - % VMT change: LDV,CAV - % VMT change: MDT,Smart Mobility: Change in auto owership,Ridehailing: Technology,Ridehailing: Market penetration,Ridehailing: Vehicle occupancy: work,Ridehailing: Vehicle occupancy: non-work,Ridehailing: Circuity/deadhead factor,Ridehailing: Prior drive mode share,Demand Reponsive: Technology,Demand Reponsive: Market penetration,Demand Reponsive: Vehicle occupancy,Demand Reponsive: Circuity/deadhead factor,Demand Reponsive: Prior drive mode share,Demand Reponsive: % electric vehicle,Pricing,Pricing: Carbon price change,"Pricing: Fuel cost change (gasoline, diesel)",Pricing: Price change per vehicle-trip ,Pricing: Price change per VMT,Pricing: Elasticity: VMT w/r/t fuel price (LDV),TDM: Additional % workers receiving transit benefit:,TDM: Additional % workers receiving transit benefit: <50 workers,TDM: Additional % workers receiving transit benefit: 50-100 workers,TDM: Additional % workers receiving transit benefit: >100 workers,TDM: Additional % workers at workplace w/TDM program,TDM: Additional % workers at workplace w/TDM program: <50 workers,TDM: Additional % workers at workplace w/TDM program: 50-100 workers,TDM: Additional % workers at workplace w/TDM program: >100 workers,TDM: Additional % workers at workplace w/TDM program: Change in drive-alone mode share w/TDM program,Residential TDM:,Residential TDM: % of residential growth in TDM regulated units,Residential TDM: Mode shift of affected residents,GHG Change 2030: Clean Vehicles,GHG Change 2030: Land Use,GHG Change 2030: Transit,GHG Change 2030: Active Transportation,GHG Change 2030: CAV,GHG Change 2030: Smart Mobility,GHG Change 2030: Travel Pricing,GHG Change 2030: TDM,GHG Change 2030: Combined,GHG Change 2050: Clean Vehicles,GHG Change 2050: Land Use,GHG Change 2050: Transit,GHG Change 2050: Active Transportation,GHG Change 2050: CAV,GHG Change 2050: Smart Mobility,GHG Change 2050: Travel Pricing,GHG Change 2050: TDM,GHG Change 2050: Combined
381,187,0,46,73,10,75,86,True,4,85,149,174,105,14,94,10,50,diesel,elasticity,143,17,22,45,14,True,99,38,EV,EV,15,80,44,3,EV,2,18,13,10,27,fleet average,21,87,10,71,77,False,45,392,6,1,45,True,28,5,48,False,31,39,46,59,True,45,16,-282031.21668235946,0.0,-81098.40312372505,-1208.9824235604349,0.0,-519185.8853922889,0.0,0.0,617722.6925997745,-3011.734652261599,0.0,-6941.163313190105,-25405.630660836803,0.0,-149317.65807790638,0.0,0.0,1010288.4857471682
382,16,50,29,67,89,51,17,False,56,20,81,354,172,97,18,39,15,gasoline,growth factor,93,10,28,56,90,True,50,37,EV,EV,32,72,35,17,EV,24,13,29,10,17,EV,12,92,14,3,35,True,21,39,5,7,28,False,39,38,30,False,32,3,6,22,True,93,98,-803255.3033672766,0.0,-10485.539999029292,0.0,0.0,-57058.6808974274,0.0,0.0,591318.2760397776,-3016.354602326872,0.0,-2731.9016625649274,-78979.40617751468,0.0,-149320.68904899815,0.0,0.0,967261.0624185045
383,45,11,1,37,39,19,3,True,86,40,105,8,26,80,66,3,18,CNG,growth factor,104,67,6,40,92,False,24,32,baseline,baseline,48,14,93,4,fleet average,13,23,18,11,35,EV,23,88,13,62,6,True,47,8,8,19,3,False,23,48,43,False,4,28,18,27,True,93,75,-122571.6048644092,0.0,-5054.117235235967,-65641.62310096595,0.0,-593894.5669266672,0.0,0.0,703665.3618455415,-3023.148646540474,0.0,-5649.999994371693,-80389.242375322,0.0,-147747.0366754586,0.0,0.0,965115.6096296795
384,127,6,64,57,69,62,36,True,66,50,69,406,172,58,70,24,41,gasoline,elasticity,63,46,43,35,43,True,39,35,EV,EV,27,43,79,18,EV,22,22,12,11,1,EV,24,145,16,48,63,True,76,250,5,16,48,False,7,23,38,True,43,36,14,54,False,41,30,-452806.7497830471,0.0,-32561.495610218346,-19264.893659959605,0.0,-289877.6632707519,0.0,0.0,688059.3996542465,-3010.9193669558736,0.0,-5874.202822675487,-45848.25552904284,0.0,-147739.01332053615,0.0,0.0,994970.8537189265
385,74,92,22,53,89,86,85,False,53,33,59,405,93,0,36,37,51,electricity,growth factor,70,14,70,39,12,True,56,86,baseline,baseline,22,33,94,14,EV,11,18,17,16,3,fleet average,17,92,18,94,79,True,7,181,0,20,35,True,18,37,5,True,29,24,23,90,True,47,30,-1140019.3947493662,0.0,-13746.790926652766,-586.1435254244467,0.0,78575.09976196883,0.0,0.0,390595.56442709884,-3014.45226994704,0.0,-3834.835789782448,-23995.794463029488,0.0,-139850.78163617308,0.0,0.0,1023408.6876172759
386,183,67,17,4,9,38,43,False,13,98,13,395,87,62,148,19,13,gasoline,growth factor,100,39,15,46,27,False,76,14,baseline,EV,29,30,96,20,fleet average,23,12,25,13,16,fleet average,12,41,15,99,91,True,59,157,6,17,46,False,26,9,2,False,0,32,36,93,False,1,25,-618293.4341996653,0.0,-22101.686387831207,-9768.526552439122,0.0,-183530.53283252846,0.0,0.0,639846.2398609101,-3011.462890492985,0.0,-8467.473327584627,-34569.565946584335,0.0,-144583.15011303732,0.0,0.0,1005615.727426339
387,240,69,50,46,11,87,31,False,68,90,75,176,173,82,80,24,57,gasoline,growth factor,193,67,12,60,37,False,74,72,baseline,EV,3,10,21,11,EV,7,14,23,12,28,EV,25,48,11,66,45,False,50,313,4,14,35,False,49,31,45,False,11,28,47,75,False,23,53,-749543.7934811271,0.0,-87540.39739684861,-26374.389348773522,0.0,66512.86270052819,0.0,0.0,713259.9182067511,-3014.45226994704,0.0,-9664.082698266846,-41618.746935620904,0.0,-146163.22120419727,0.0,0.0,996957.2844255157
388,215,96,10,61,19,52,58,True,69,78,79,447,56,102,97,35,20,CNG,growth factor,21,25,57,24,9,True,70,48,EV,EV,13,36,16,14,fleet average,2,13,14,13,37,fleet average,2,102,19,65,53,False,61,348,7,20,28,True,20,20,30,False,20,10,42,76,True,26,7,-838516.169870695,0.0,-30266.07360324358,-1561.1880009865756,0.0,-35822.551096017734,0.0,0.0,568882.3371536001,-3016.354602326872,0.0,-8583.568853879706,-21881.040166318515,0.0,-144586.35937298002,0.0,0.0,1016544.6503258185
389,35,42,48,62,66,70,100,False,11,38,4,345,36,129,70,2,7,electricity,growth factor,114,77,47,43,79,False,88,14,baseline,EV,26,12,39,15,EV,5,10,10,20,74,EV,23,119,16,92,39,False,37,198,0,17,34,False,48,39,16,True,37,45,49,60,False,78,32,-854868.1635793995,0.0,5557.399017968349,-66174.35740147329,0.0,-534645.050548597,0.0,0.0,63632.18198474256,-3014.7240317155374,0.0,-2817.9348381290083,-71225.30708957447,0.0,-133538.5203613585,0.0,0.0,988741.5759537721
390,283,40,52,27,24,42,14,False,17,10,98,68,69,81,0,35,52,electricity,growth factor,80,23,62,0,39,True,71,5,EV,EV,30,4,67,5,EV,5,26,14,20,19,EV,0,97,13,46,24,True,73,261,4,9,16,True,13,29,9,True,43,35,35,94,True,74,21,-499834.3566894657,0.0,2263.871704616166,-6207.641195736028,0.0,-29886.249980484263,0.0,0.0,923686.2032799491,-3019.615743549424,0.0,-426.1007223075432,-43028.58313342822,0.0,-133541.72970689222,0.0,0.0,1015678.7279344453
391,2,47,90,92,1,32,65,True,86,67,29,408,107,129,10,29,27,diesel,growth factor,0,32,75,17,27,True,24,50,baseline,baseline,5,33,37,18,EV,23,15,11,16,54,fleet average,4,150,18,19,79,True,53,99,3,3,1,False,9,14,17,False,10,38,13,23,False,5,55,-1219925.1167785479,0.0,-16716.110866385752,-7428.642305215269,0.0,-4872.074830701992,0.0,0.0,227305.2420366183,-3023.6921700775856,0.0,-8160.539123088445,-34569.565946584335,0.0,-139856.8438276053,0.0,0.0,1010422.6512363905
392,48,90,95,54,45,40,63,True,79,88,0,370,80,1,96,34,1,diesel,elasticity,64,62,2,12,29,True,51,82,baseline,baseline,17,18,49,8,EV,0,20,11,11,74,EV,25,47,12,68,22,False,47,377,7,20,32,False,0,8,36,True,25,6,26,12,False,2,63,-1601362.5239366048,0.0,925.4970515798515,-18876.927045899636,0.0,5820075.292107488,0.0,0.0,5604619.913441665,-3015.267555252649,0.0,-9866.211400126002,-35979.40214439164,0.0,-147741.86597702096,0.0,0.0,1000159.5584926037
393,11,74,72,69,44,75,91,False,79,57,131,181,0,46,34,29,57,CNG,elasticity,159,40,13,3,20,False,21,8,baseline,EV,35,29,48,20,EV,14,27,28,16,31,fleet average,11,147,19,37,8,True,52,366,1,3,31,True,30,23,8,True,28,32,21,26,False,0,92,-1396536.6887404537,0.0,-29171.10600855578,-7504.165982592939,0.0,261555.12326309422,0.0,0.0,312888.7850474989,-3015.5393170211464,0.0,-6983.740548636398,-29635.139254258742,0.0,-139851.49481138916,0.0,0.0,1015758.0992421366
394,370,18,44,67,14,93,71,True,83,24,22,48,124,128,51,37,47,CNG,growth factor,18,12,36,58,26,True,68,92,baseline,baseline,36,66,21,13,fleet average,18,28,22,10,47,EV,18,63,17,43,36,True,52,317,4,14,36,True,49,12,33,False,13,22,47,17,False,24,90,-258642.6169395583,0.0,-15634.881091949599,-635.3076903439473,0.0,-175186.11739125123,0.0,0.0,1010675.805006929,-3014.180508178426,0.0,-4056.429131486032,-33864.64784768068,0.0,-149319.26269539597,0.0,0.0,1005394.8698601256
395,278,37,37,97,6,36,38,False,45,9,120,304,199,82,73,0,59,electricity,elasticity,198,63,75,58,13,True,37,67,baseline,baseline,28,4,82,8,fleet average,20,23,29,15,91,EV,3,56,19,83,91,False,26,242,4,7,23,False,17,50,31,False,50,36,23,58,False,90,85,-450491.9775133268,0.0,7743.500518980434,-7855.732459955775,0.0,-215500.06059774343,0.0,0.0,789846.22403831,-3017.7134111695923,0.0,-1320.9948616939992,-24700.712561933142,0.0,-141431.03107284766,0.0,0.0,1023407.7330030185
396,229,14,30,23,100,64,99,True,48,64,40,417,26,118,70,28,41,diesel,growth factor,37,84,79,42,33,True,12,30,baseline,baseline,6,44,36,12,EV,14,17,26,10,87,EV,0,124,14,75,63,True,76,281,1,5,6,True,37,37,24,True,6,36,19,44,True,54,84,-299125.22816220776,0.0,-33980.647603896585,-29695.607086184944,0.0,-195050.9841556369,0.0,0.0,920140.5016368404,-3022.333361234865,0.0,-6540.900021614971,-38799.07454000628,0.0,-149324.61165217147,0.0,0.0,998997.3880711294
397,93,28,87,14,97,26,45,False,73,29,20,154,102,135,39,6,1,CNG,elasticity,104,16,30,41,80,False,87,34,EV,baseline,31,94,39,2,fleet average,25,15,17,17,56,EV,10,68,12,79,41,True,83,339,2,4,17,True,48,32,45,False,21,42,30,61,False,50,76,-818321.3474030178,0.0,7296.744180732589,-6002.264010794247,0.0,-59282.191025718894,0.0,0.0,578820.5275333175,-3019.3439817808103,0.0,-4168.53054563793,-71930.22518847813,0.0,-138275.88108256797,0.0,0.0,982555.5867627908
398,93,71,34,44,65,28,75,True,29,91,105,328,179,90,52,39,58,diesel,growth factor,129,90,0,41,58,False,30,81,EV,EV,38,10,56,19,fleet average,14,11,17,15,38,EV,15,76,17,49,68,True,21,119,6,2,26,True,43,21,34,False,27,30,42,10,True,2,76,-947640.3991339362,0.0,-63710.256930157506,-58139.838124238806,0.0,-72620.90557261794,0.0,0.0,399960.19350894546,-3016.8981258639833,0.0,-8381.093995634805,-56422.0270125977,0.0,-141430.496181331,0.0,0.0,989657.2265006538
399,257,32,53,24,58,13,23,True,19,24,122,65,189,105,72,29,11,gasoline,growth factor,94,96,2,53,100,False,67,50,EV,baseline,20,15,75,10,fleet average,7,27,10,20,48,EV,14,114,10,66,48,True,79,166,7,11,5,False,40,29,8,False,7,29,32,76,False,1,20,-489229.6322539989,0.0,12047.86815389324,-108036.26078108702,0.0,-237498.82997762022,0.0,0.0,680670.1496945403,-3022.6051230033627,0.0,-1798.424399875359,-86028.58716655125,0.0,-133543.69103681244,0.0,0.0,976492.2891464309
400,400,1,59,64,76,51,8,True,43,86,54,443,138,33,102,31,31,diesel,growth factor,38,66,0,5,84,True,47,50,EV,EV,17,79,30,19,EV,17,19,10,20,63,fleet average,11,34,15,72,71,False,16,275,7,10,8,False,37,1,20,False,10,50,31,75,True,73,84,-210964.74706462026,0.0,-37113.20420765344,-59258.46235017888,0.0,91319.13999460306,0.0,0.0,1249210.6718524888,-3021.7898376977537,0.0,-8410.117877208573,-74749.89758409275,0.0,-133543.156123897,0.0,0.0,980977.6463664762
401,288,10,14,88,86,72,18,True,45,19,77,366,43,86,111,13,47,diesel,elasticity,125,19,34,35,25,False,62,82,EV,baseline,8,45,41,7,EV,18,15,14,13,36,fleet average,9,104,13,42,94,False,35,300,4,14,30,False,45,48,49,True,23,47,34,27,False,11,14,-161293.81507027242,0.0,1872.3025255529963,-2764.6650382936414,0.0,-32541.00472754865,0.0,0.0,1261310.365083184,-3015.8110787897604,0.0,-2250.82416862613,-33159.72974877702,0.0,-144586.00278220198,0.0,0.0,1012129.423346161
402,293,90,3,79,39,71,26,False,65,92,101,429,53,62,33,19,17,diesel,growth factor,5,28,11,21,17,True,69,16,baseline,EV,10,54,68,1,EV,11,16,14,16,77,EV,17,100,10,72,46,True,95,354,5,15,8,False,22,47,50,True,27,48,17,15,False,43,3,-678843.0688799322,0.0,-7218.719508203466,-3805.3560115863424,0.0,-123140.62769956709,0.0,0.0,648995.0566514581,-3021.7898376977537,0.0,-9744.204587859022,-27520.384957547773,0.0,-139855.5956919212,0.0,0.0,1015225.0677064132
403,344,32,67,84,89,72,31,False,15,75,124,297,94,54,67,39,29,CNG,growth factor,105,54,97,45,27,True,20,54,baseline,EV,13,30,63,2,fleet average,20,12,29,18,93,EV,1,55,12,15,99,False,71,337,2,10,45,True,9,17,42,False,16,38,2,89,True,59,45,-431407.5506246048,0.0,-16835.855435495916,-13881.011530702097,0.0,-43559.11736705361,0.0,0.0,960367.2307926571,-3011.734652261599,0.0,-6399.42856950356,-34569.565946584335,0.0,-136692.778941858,0.0,0.0,1014994.6770708942
404,52,91,83,34,23,66,51,False,94,47,80,335,108,55,110,3,8,CNG,growth factor,35,54,20,31,17,True,16,57,baseline,EV,45,73,67,4,fleet average,23,13,24,17,61,EV,15,116,11,61,1,False,57,182,0,17,3,False,1,41,4,True,23,26,18,88,False,43,19,-1513353.1926696452,0.0,-5491.273221561759,-9332.462362223852,0.0,3768074.3029256756,0.0,0.0,3672952.051980814,-3023.148646540474,0.0,-6583.131100675518,-27520.384957547773,0.0,-138278.37732342232,0.0,0.0,1019473.46043536
405,377,20,7,44,49,35,61,False,80,17,6,111,93,139,72,34,33,electricity,growth factor,56,95,65,20,98,True,0,94,baseline,EV,2,41,8,19,fleet average,2,24,14,12,95,EV,21,70,19,63,29,True,50,191,10,7,16,False,29,30,37,True,4,11,14,62,True,22,91,-147456.78706806456,0.0,-3872.8839797907085,-103376.57405352981,0.0,-453244.35792376846,0.0,0.0,792382.9810206611,-3019.615743549424,0.0,-3299.704644839292,-84618.75096874393,0.0,-146166.6088429406,0.0,0.0,964813.3157979463
406,294,22,15,87,11,16,33,False,71,37,48,136,24,130,83,9,28,gasoline,growth factor,154,57,37,7,4,True,57,59,EV,baseline,42,70,55,5,fleet average,21,30,26,11,11,fleet average,13,113,11,13,88,True,59,278,10,0,25,False,42,30,8,False,20,23,19,26,False,85,49,-231853.22113376996,0.0,829.5002989111109,-1991.2843289722161,0.0,27280.885767723674,0.0,0.0,1250349.9726720632,-3017.169887632481,0.0,-4841.8313433208,-18356.44967180024,0.0,-147743.11404613117,0.0,0.0,1019741.1789848318
407,6,14,3,31,56,53,46,False,3,71,92,36,45,99,68,7,56,CNG,elasticity,194,28,89,45,29,True,2,65,EV,EV,22,67,14,16,EV,3,25,17,13,0,EV,13,85,15,77,84,True,75,334,9,4,21,True,20,28,6,True,10,43,12,2,False,63,61,-208316.65068832878,0.0,-57121.69503990115,-6523.766245974998,0.0,-591866.2012556625,0.0,0.0,627188.6959110117,-3018.2569347067038,0.0,-5604.120959553705,-35979.40214439164,0.0,-144587.60745318548,0.0,0.0,1006811.1967401364
408,78,16,54,81,6,70,74,False,5,24,29,263,2,149,4,29,32,diesel,elasticity,136,42,80,13,69,True,6,94,baseline,baseline,26,20,1,9,EV,13,30,12,20,83,fleet average,1,50,15,15,27,True,65,107,1,15,11,True,6,31,8,False,2,22,30,56,True,36,86,-565501.8014173338,0.0,7980.850863496861,-27513.73115625264,0.0,1194.3927192094234,0.0,0.0,879560.0105014213,-3020.9745523921447,0.0,-1304.4858648355248,-64176.126100537906,0.0,-133542.62121454807,0.0,0.0,996225.4450769561
409,21,77,54,71,85,98,73,True,35,21,25,75,163,57,55,38,59,gasoline,growth factor,138,59,42,53,83,True,80,5,EV,baseline,36,59,17,13,fleet average,16,12,22,10,54,fleet average,2,64,13,5,5,False,48,385,4,15,15,True,45,12,46,True,15,33,43,10,False,57,53,-1302309.9646524126,0.0,-16328.274311963787,-50864.35123454118,0.0,49832.48240708372,0.0,0.0,194134.84140444404,-3019.8875053179218,0.0,-2083.976790698388,-74044.9794851891,0.0,-149323.00692769128,0.0,0.0,972078.7241597227
410,302,90,57,60,18,63,72,True,54,74,139,460,75,122,56,34,19,electricity,growth factor,15,34,80,28,63,False,35,1,EV,baseline,33,76,68,6,fleet average,6,28,30,11,13,fleet average,4,115,13,32,11,True,78,400,4,9,19,False,3,23,40,False,6,46,46,89,True,94,58,-868582.4937381436,0.0,-14427.846143121089,-18592.215231083028,0.0,93604.32136182385,0.0,0.0,665586.1370658993,-3018.800458243699,0.0,-7682.417272135601,-59946.617507115974,0.0,-147744.1838351084,0.0,0.0,981206.0950515926
411,325,65,47,81,28,27,34,True,75,27,141,306,146,100,148,3,54,electricity,growth factor,118,83,46,26,90,True,97,10,baseline,EV,2,50,31,20,EV,28,25,19,11,12,EV,25,30,14,23,90,True,93,161,2,0,27,True,29,0,26,True,42,18,32,94,True,71,18,-603860.2493296432,0.0,-15059.348284170113,-81861.76833360734,0.0,535966.9447873794,0.0,0.0,1296434.3319381739,-3016.6263640953694,0.0,-4053.127332114338,-78979.40617751468,0.0,-147742.75745297555,0.0,0.0,967653.2975650671
412,195,75,24,100,35,99,10,False,25,25,106,9,13,67,107,30,48,gasoline,growth factor,131,90,52,32,27,True,49,5,EV,EV,9,99,44,7,fleet average,17,28,26,10,58,fleet average,13,42,13,28,100,False,92,325,4,14,5,False,30,29,25,False,20,45,22,72,True,48,99,-812984.0437714995,0.0,-13773.13592953503,-26522.118802268633,0.0,19609.36120444686,0.0,0.0,644324.1359081335,-3022.6051230033627,0.0,-2103.0952741570736,-34569.565946584335,0.0,-149324.7899568729,0.0,0.0,1006422.6834579663
413,380,87,39,93,62,56,62,True,54,77,86,476,186,38,119,26,54,diesel,growth factor,161,86,2,1,95,False,9,15,baseline,baseline,23,38,10,5,EV,17,18,29,10,7,EV,25,118,12,22,87,False,48,85,5,0,1,False,16,43,9,False,12,49,20,17,False,1,95,-701105.520232262,0.0,-89500.77295086322,-90879.908586805,0.0,150243.93236267506,0.0,0.0,796401.1965370663,-3023.6921700775856,0.0,-7961.366064215239,-82503.99667203297,0.0,-149325.5031796416,0.0,0.0,959938.8067243227
414,30,42,68,8,8,10,40,True,0,4,90,318,134,135,6,9,24,CNG,growth factor,156,21,47,51,5,True,48,47,baseline,EV,50,14,78,4,fleet average,5,26,17,17,19,fleet average,18,97,16,69,23,False,47,35,9,18,12,True,28,0,22,True,40,31,6,3,False,32,98,-882067.5522199305,0.0,8360.308023969303,-677.0922547195033,0.0,-219282.96835934164,0.0,0.0,356441.50663101004,-3020.7027906235307,0.0,731.5793686858203,-19061.367770703895,0.0,-138276.77258824251,0.0,0.0,1033234.8683348307
415,210,75,54,93,54,15,7,True,33,23,2,264,68,128,90,1,6,CNG,elasticity,161,72,64,2,81,False,78,98,EV,baseline,6,6,88,4,EV,24,21,14,18,33,EV,9,138,18,58,21,False,41,356,4,0,34,True,49,45,27,False,13,25,14,15,False,76,90,-887924.9888640384,0.0,18838.479086754876,-62447.81633962303,0.0,34697.44420128049,0.0,0.0,584307.2412839805,-3014.7240317155374,0.0,-2199.3800042219814,-72635.1432873818,0.0,-136694.7401453706,0.0,0.0,985052.3803899602
416,263,66,85,6,87,95,44,True,21,24,86,147,141,66,141,27,50,gasoline,elasticity,133,52,91,44,80,True,93,88,baseline,baseline,5,19,2,13,EV,26,19,11,10,87,fleet average,7,131,14,84,8,True,38,322,0,12,4,True,47,25,35,False,44,10,38,48,False,9,11,-903381.4863381785,0.0,-11430.078286503265,-41493.83247071651,0.0,154346.4242714896,0.0,0.0,681349.0324619996,-3022.8768847719766,0.0,-1868.9870477381928,-71930.22518847813,0.0,-149324.96826197064,0.0,0.0,974091.1928635992
417,247,49,81,79,61,6,57,False,66,54,38,133,58,121,143,8,4,diesel,elasticity,108,48,38,57,30,True,27,18,EV,baseline,41,83,19,14,fleet average,3,16,30,10,46,EV,24,46,13,36,75,True,6,186,0,11,31,False,0,18,7,True,48,10,27,5,False,38,31,-764890.3275149853,0.0,22364.832940144814,-14062.876955483793,0.0,147129.50381879302,0.0,0.0,842815.9984313183,-3015.5393170211464,0.0,-6246.13454544834,-36684.320243295304,0.0,-149320.15416342544,0.0,0.0,1001091.4128922129
418,156,82,55,26,97,77,72,True,11,79,109,435,194,138,45,21,15,gasoline,elasticity,131,25,100,50,95,True,100,33,EV,EV,13,96,26,7,fleet average,26,27,13,11,33,fleet average,12,99,17,4,7,False,34,176,10,13,21,True,18,45,16,False,4,33,3,16,True,49,32,-1069652.6747058516,0.0,-2160.3993735009803,-17704.56789822064,0.0,25219.06163186022,0.0,0.0,405881.1865934613,-3018.2569347067038,0.0,-6630.234996550746,-82503.99667203297,0.0,-147743.82723719755,0.0,0.0,962488.1010493193
419,20,66,1,87,48,43,34,True,18,99,23,310,54,44,142,40,6,diesel,elasticity,55,89,62,34,65,True,73,40,EV,baseline,33,31,47,16,EV,29,26,10,11,56,fleet average,14,120,17,35,5,True,86,155,3,20,12,True,8,23,45,True,16,34,23,59,True,99,43,-799971.5172621673,0.0,-17113.037044744757,-64188.64666936777,0.0,-117124.67850366072,0.0,0.0,509015.71882721013,-3020.7027906235307,0.0,-8736.862877934922,-61356.4537049233,0.0,-147745.4319402788,0.0,0.0,979106.2681805277
420,155,86,80,85,50,79,7,True,16,88,137,342,70,148,5,17,55,gasoline,growth factor,140,38,39,19,81,False,94,20,EV,EV,37,13,52,5,EV,12,12,30,13,16,EV,19,30,20,49,29,True,66,145,7,6,48,True,42,26,40,False,31,13,42,38,True,29,58,-1207418.2691502755,0.0,1418.33864632998,-28325.813021176644,0.0,827856.0808049081,0.0,0.0,1056446.601771957,-3010.9193669558736,0.0,-7643.487992446746,-72635.1432873818,0.0,-144582.79353652406,0.0,0.0,973184.4197180744
421,302,77,34,54,45,33,6,False,82,3,73,128,123,81,82,1,37,gasoline,elasticity,74,88,23,23,24,True,35,48,baseline,EV,48,22,20,15,EV,9,23,17,18,93,fleet average,12,61,11,61,77,True,94,109,0,1,46,False,42,32,23,False,45,18,35,53,False,95,16,-611007.4853060134,0.0,19963.577057655883,-23147.301370460893,0.0,-44737.5650592366,0.0,0.0,798252.5533741281,-3011.462890492985,0.0,-2068.5062629971408,-32454.81164987336,0.0,-136692.6006530071,0.0,0.0,1020570.2899140061
422,393,38,18,75,53,88,59,False,49,12,72,468,138,138,48,10,29,diesel,elasticity,117,85,44,14,99,False,17,25,baseline,EV,42,59,35,0,EV,29,28,29,10,70,EV,15,42,17,72,5,True,69,202,7,9,10,False,24,5,44,False,24,13,2,84,True,89,54,-297304.89189052384,0.0,12192.356007411441,-92579.43188998193,0.0,-223541.0050442132,0.0,0.0,882948.8329484175,-3021.246314160642,0.0,-1741.0689494993053,-85323.66906764761,0.0,-149323.89843732858,0.0,0.0,962535.8130978565
423,299,60,68,94,2,40,0,True,20,7,33,40,22,120,32,10,51,diesel,elasticity,141,65,9,44,37,True,3,71,baseline,baseline,42,53,68,16,fleet average,10,27,22,12,15,EV,5,58,17,56,34,False,56,122,8,14,21,False,28,27,45,True,2,26,15,48,False,56,36,-701190.4191649591,0.0,10709.970538698855,-25482.87932931507,0.0,-24320.100586148932,0.0,0.0,722905.9432099427,-3018.2569347067038,0.0,-252.9959020221542,-41618.746935620904,0.0,-146165.71734519152,0.0,0.0,1004895.4792084465
424,374,1,15,9,39,1,65,True,44,2,94,392,88,139,75,8,46,CNG,growth factor,24,73,41,28,16,True,99,32,EV,EV,11,42,37,14,fleet average,19,26,18,14,94,EV,21,33,20,72,13,True,17,355,8,4,25,True,23,11,33,True,49,9,0,43,True,95,14,-49513.5855910338,0.0,23503.976930173365,-11988.334069077779,0.0,-275924.17419643025,0.0,0.0,1139275.375264826,-3017.169887632481,0.0,-634.8330229100912,-26815.466858644115,0.0,-143008.78437011305,0.0,0.0,1020600.0649254661
425,250,64,38,53,41,35,53,False,30,54,79,131,156,106,15,10,50,diesel,growth factor,130,74,37,52,84,False,100,80,EV,EV,35,3,67,8,fleet average,22,13,28,15,1,EV,11,63,13,95,58,True,49,226,1,6,27,True,4,34,2,False,15,45,50,66,False,91,96,-667012.8091446861,0.0,-2451.0412779509916,-67115.59804177257,0.0,-65052.82821402611,0.0,0.0,689325.1745733948,-3016.6263640953694,0.0,-4976.006883917337,-74749.89758409275,0.0,-141430.31788495136,0.0,0.0,976470.7182826372
426,251,55,52,99,21,61,25,False,31,82,142,123,193,48,57,11,5,CNG,elasticity,178,98,57,49,72,True,17,72,EV,baseline,33,92,100,12,EV,19,11,13,13,21,EV,18,144,12,1,14,False,58,49,1,1,28,False,34,45,7,True,47,43,19,81,True,6,27,-675741.2114109095,0.0,5983.378332471992,-78692.77567612584,0.0,129041.33223395303,0.0,0.0,863613.0235706561,-3016.354602326872,0.0,-7614.810267258719,-66290.88039724888,0.0,-144586.35937298002,0.0,0.0,978721.8760076984
427,46,89,89,8,73,7,96,False,85,56,70,81,77,75,74,23,31,electricity,elasticity,44,27,49,31,53,True,65,19,EV,EV,13,45,26,8,fleet average,1,30,24,17,27,EV,14,84,16,79,70,False,28,110,3,13,14,False,36,21,27,True,46,47,11,35,True,68,59,-1544633.3777971673,0.0,-32191.78266911939,-11252.436783902564,0.0,4799867.5380657585,0.0,0.0,4571381.755691845,-3020.1592670865357,0.0,-7102.445561531684,-52897.4365180794,0.0,-138276.41598478387,0.0,0.0,996798.9384650342
428,269,78,83,28,89,68,3,False,1,84,101,294,191,147,3,31,59,CNG,growth factor,44,70,70,34,68,True,97,42,baseline,EV,21,100,54,1,fleet average,9,16,25,19,11,EV,4,103,15,81,45,False,12,221,8,4,23,False,29,36,15,False,9,9,0,91,False,39,57,-925590.9295685568,0.0,5733.555788145215,-50456.90933326885,0.0,121969.20272033189,0.0,0.0,632173.561782706,-3017.7134111695923,0.0,-6742.336410702642,-63471.208001634244,0.0,-135118.59150482347,0.0,0.0,990810.8391259072
